product,date,market,description,source_url,price,quantity,unit,origin,quality,product_clean,market_clean,unit_price,month,year,season,product_category,price_category
Cheval,2025-12-01,MIN d'Avignon,Cheval Bio - Maroc,https://rnm.franceagrimer.fr/prix?CHEVAL,26.08,9,pièce,Maroc,Bio,Cheval,MIN d'Avignon,26.08,12,2025,Hiver,Viande,>20€
Fromage de chèvre,2026-01-08,MIN de Bordeaux,Fromage de chèvre Extra - Portugal,https://rnm.franceagrimer.fr/prix?FROMAGE-DE-CHÈVRE,14.24,9,kg,Portugal,Extra,Fromage De Chèvre,MIN de Bordeaux,14.24,1,2026,Hiver,Produits laitiers,10-20€
Pêche,2025-12-19,MIN de Bordeaux,Pêche Cat. I - Allemagne,https://rnm.franceagrimer.fr/prix?PÊCHE,11.85,5,litre,Allemagne,Cat. I,Pêche,MIN de Bordeaux,11.85,12,2025,Hiver,Fruits,10-20€
Crème,2026-01-29,MIN de Strasbourg,Crème Extra - Italie,https://rnm.franceagrimer.fr/prix?CRÈME,13.64,5,litre,Italie,Extra,Crème,MIN de Strasbourg,13.64,1,2026,Hiver,Produits laitiers,10-20€
Salade,2026-01-28,MIN de Paris,Salade Cat. I - Pays-Bas,https://rnm.franceagrimer.fr/prix?SALADE,5.43,9,pièce,Pays-Bas,Cat. I,Salade,MIN de Paris,5.43,1,2026,Hiver,Légumes,5-10€
Pomme de terre,2025-11-14,MIN de Paris,Pomme de terre Bio - Espagne,https://rnm.franceagrimer.fr/prix?POMME-DE-TERRE,6.87,7,pièce,Espagne,Bio,Pomme De Terre,MIN de Paris,6.87,11,2025,Automne,Légumes,5-10€
Lapin,2025-12-13,MIN de Toulouse,Lapin Cat. I - Portugal,https://rnm.franceagrimer.fr/prix?LAPIN,28.42,2,kg,Portugal,Cat. I,Lapin,MIN de Toulouse,28.42,12,2025,Hiver,Viande,>20€
Fraise,2026-01-07,MIN de Lille,Fraise Cat. I - Espagne,https://rnm.franceagrimer.fr/prix?FRAISE,4.94,6,pièce,Espagne,Cat. I,Fraise,MIN de Lille,4.94,1,2026,Hiver,Fruits,2-5€
Pêche,2025-11-27,MIN de Toulouse,Pêche Cat. II - Allemagne,https://rnm.franceagrimer.fr/prix?PÊCHE,7.82,3,pièce,Allemagne,Cat. II,Pêche,MIN de Toulouse,7.82,11,2025,Automne,Fruits,5-10€
Volaille,2026-01-17,MIN d'Avignon,Volaille Extra - Maroc,https://rnm.franceagrimer.fr/prix?VOLAILLE,21.51,7,pièce,Maroc,Extra,Volaille,MIN d'Avignon,21.51,1,2026,Hiver,Viande,>20€
Pomme,2026-01-31,MIN de Paris,Pomme Cat. II - Portugal,https://rnm.franceagrimer.fr/prix?POMME,15.2,9,pièce,Portugal,Cat. II,Pomme,MIN de Paris,15.2,1,2026,Hiver,Fruits,10-20€
Kiwi,2025-12-19,MIN de Marseille,Kiwi Cat. I - Espagne,https://rnm.franceagrimer.fr/prix?KIWI,5.19,2,pièce,Espagne,Cat. I,Kiwi,MIN de Marseille,5.19,12,2025,Hiver,Fruits,5-10€
Veau,2025-12-23,MIN de Nantes,Veau Extra - Pays-Bas,https://rnm.franceagrimer.fr/prix?VEAU,31.75,3,kg,Pays-Bas,Extra,Veau,MIN de Nantes,31.75,12,2025,Hiver,Viande,>20€
Oignon,2025-12-23,MIN d'Avignon,Oignon Bio - Espagne,https://rnm.franceagrimer.fr/prix?OIGNON,3.29,1,pièce,Espagne,Bio,Oignon,MIN d'Avignon,3.29,12,2025,Hiver,Légumes,2-5€
Fromage,2026-01-10,MIN d'Avignon,Fromage Cat. I - France,https://rnm.franceagrimer.fr/prix?FROMAGE,10.26,4,pièce,France,Cat. I,Fromage,MIN d'Avignon,10.26,1,2026,Hiver,Produits laitiers,10-20€
Cerise,2025-11-15,MIN de Perpignan,Cerise Bio - Portugal,https://rnm.franceagrimer.fr/prix?CERISE,6.46,5,pièce,Portugal,Bio,Cerise,MIN de Perpignan,6.46,11,2025,Automne,Fruits,5-10€
Carotte,2025-11-23,MIN de Lille,Carotte Cat. II - Maroc,https://rnm.franceagrimer.fr/prix?CAROTTE,3.94,2,litre,Maroc,Cat. II,Carotte,MIN de Lille,3.94,11,2025,Automne,Légumes,2-5€
Poire,2025-11-18,MIN de Rungis,Poire Bio - Italie,https://rnm.franceagrimer.fr/prix?POIRE,10.32,3,pièce,Italie,Bio,Poire,MIN de Rungis,10.32,11,2025,Automne,Fruits,10-20€
Œuf,2025-11-15,MIN de Lille,Œuf Cat. II - Pays-Bas,https://rnm.franceagrimer.fr/prix?ŒUF,4.97,8,pièce,Pays-Bas,Cat. II,Œuf,MIN de Lille,4.97,11,2025,Automne,Produits laitiers,2-5€
Tomate,2025-12-03,MIN de Marseille,Tomate Bio - Pays-Bas,https://rnm.franceagrimer.fr/prix?TOMATE,3.25,7,litre,Pays-Bas,Bio,Tomate,MIN de Marseille,3.25,12,2025,Hiver,Légumes,2-5€
Banane,2025-11-09,MIN de Strasbourg,Banane Cat. II - Pays-Bas,https://rnm.franceagrimer.fr/prix?BANANE,12.67,10,litre,Pays-Bas,Cat. II,Banane,MIN de Strasbourg,12.67,11,2025,Automne,Fruits,10-20€
Agneau,2025-12-29,MIN de Lille,Agneau Extra - Portugal,https://rnm.franceagrimer.fr/prix?AGNEAU,26.94,4,kg,Portugal,Extra,Agneau,MIN de Lille,26.94,12,2025,Hiver,Viande,>20€
Bœuf,2025-12-11,MIN de Toulouse,Bœuf Cat. I - Allemagne,https://rnm.franceagrimer.fr/prix?BŒUF,25.95,1,kg,Allemagne,Cat. I,Bœuf,MIN de Toulouse,25.95,12,2025,Hiver,Viande,>20€
Kiwi,2025-12-08,MIN de Nice,Kiwi Cat. I - France,https://rnm.franceagrimer.fr/prix?KIWI,5.17,4,pièce,France,Cat. I,Kiwi,MIN de Nice,5.17,12,2025,Hiver,Fruits,5-10€
Agneau,2025-11-15,MIN de Bordeaux,Agneau Bio - Espagne,https://rnm.franceagrimer.fr/prix?AGNEAU,30.99,10,pièce,Espagne,Bio,Agneau,MIN de Bordeaux,30.99,11,2025,Automne,Viande,>20€
Chou,2025-12-27,MIN de Lyon,Chou Cat. II - Belgique,https://rnm.franceagrimer.fr/prix?CHOU,7.79,5,litre,Belgique,Cat. II,Chou,MIN de Lyon,7.79,12,2025,Hiver,Légumes,5-10€
Fraise,2025-12-24,MIN de Lille,Fraise Cat. II - Allemagne,https://rnm.franceagrimer.fr/prix?FRAISE,3.49,5,litre,Allemagne,Cat. II,Fraise,MIN de Lille,3.49,12,2025,Hiver,Fruits,2-5€
Orange,2026-01-19,MIN de Marseille,Orange Cat. II - Espagne,https://rnm.franceagrimer.fr/prix?ORANGE,9.65,10,kg,Espagne,Cat. II,Orange,MIN de Marseille,9.65,1,2026,Hiver,Fruits,5-10€
Pastèque,2025-11-07,MIN de Lille,Pastèque Bio - France,https://rnm.franceagrimer.fr/prix?PASTÈQUE,3.14,8,pièce,France,Bio,Pastèque,MIN de Lille,3.14,11,2025,Automne,Fruits,2-5€
Crème,2026-01-14,MIN de Paris,Crème Bio - Italie,https://rnm.franceagrimer.fr/prix?CRÈME,14.13,6,kg,Italie,Bio,Crème,MIN de Paris,14.13,1,2026,Hiver,Produits laitiers,10-20€
Poire,2025-12-06,MIN de Strasbourg,Poire Cat. I - Maroc,https://rnm.franceagrimer.fr/prix?POIRE,12.28,10,pièce,Maroc,Cat. I,Poire,MIN de Strasbourg,12.28,12,2025,Hiver,Fruits,10-20€
Agneau,2026-02-01,MIN de Rungis,Agneau Extra - Pays-Bas,https://rnm.franceagrimer.fr/prix?AGNEAU,31.29,1,kg,Pays-Bas,Extra,Agneau,MIN de Rungis,31.29,2,2026,Hiver,Viande,>20€
Haricot vert,2026-01-01,MIN de Strasbourg,Haricot vert Cat. II - Pays-Bas,https://rnm.franceagrimer.fr/prix?HARICOT-VERT,7.19,8,pièce,Pays-Bas,Cat. II,Haricot Vert,MIN de Strasbourg,7.19,1,2026,Hiver,Légumes,5-10€
Veau,2026-01-24,MIN de Rungis,Veau Bio - Portugal,https://rnm.franceagrimer.fr/prix?VEAU,21.0,6,kg,Portugal,Bio,Veau,MIN de Rungis,21.0,1,2026,Hiver,Viande,>20€
Yaourt,2025-12-29,MIN de Bordeaux,Yaourt Cat. II - Espagne,https://rnm.franceagrimer.fr/prix?YAOURT,6.56,8,kg,Espagne,Cat. II,Yaourt,MIN de Bordeaux,6.56,12,2025,Hiver,Produits laitiers,5-10€
Pêche,2025-11-18,MIN de Marseille,Pêche Cat. I - Pays-Bas,https://rnm.franceagrimer.fr/prix?PÊCHE,7.34,4,kg,Pays-Bas,Cat. I,Pêche,MIN de Marseille,7.34,11,2025,Automne,Fruits,5-10€
Poire,2025-12-14,MIN de Paris,Poire Extra - Portugal,https://rnm.franceagrimer.fr/prix?POIRE,13.77,6,litre,Portugal,Extra,Poire,MIN de Paris,13.77,12,2025,Hiver,Fruits,10-20€
Agneau,2025-11-04,MIN de Paris,Agneau Bio - Portugal,https://rnm.franceagrimer.fr/prix?AGNEAU,28.3,6,pièce,Portugal,Bio,Agneau,MIN de Paris,28.3,11,2025,Automne,Viande,>20€
Melon,2026-01-16,MIN de Paris,Melon Cat. II - Belgique,https://rnm.franceagrimer.fr/prix?MELON,7.82,3,kg,Belgique,Cat. II,Melon,MIN de Paris,7.82,1,2026,Hiver,Fruits,5-10€
Raisin,2025-12-03,MIN de Toulouse,Raisin Extra - Allemagne,https://rnm.franceagrimer.fr/prix?RAISIN,15.68,7,litre,Allemagne,Extra,Raisin,MIN de Toulouse,15.68,12,2025,Hiver,Fruits,10-20€
Tomate,2026-01-30,MIN de Strasbourg,Tomate Bio - France,https://rnm.franceagrimer.fr/prix?TOMATE,3.43,4,kg,France,Bio,Tomate,MIN de Strasbourg,3.43,1,2026,Hiver,Légumes,2-5€
Poireau,2026-01-18,MIN de Paris,Poireau Cat. I - Maroc,https://rnm.franceagrimer.fr/prix?POIREAU,3.69,3,pièce,Maroc,Cat. I,Poireau,MIN de Paris,3.69,1,2026,Hiver,Légumes,2-5€
Cheval,2025-12-31,MIN de Strasbourg,Cheval Cat. I - Espagne,https://rnm.franceagrimer.fr/prix?CHEVAL,23.64,1,kg,Espagne,Cat. I,Cheval,MIN de Strasbourg,23.64,12,2025,Hiver,Viande,>20€
Raisin,2025-12-19,MIN de Toulouse,Raisin Cat. II - Italie,https://rnm.franceagrimer.fr/prix?RAISIN,13.47,4,kg,Italie,Cat. II,Raisin,MIN de Toulouse,13.47,12,2025,Hiver,Fruits,10-20€
Pomme,2026-01-04,MIN de Marseille,Pomme Cat. II - Portugal,https://rnm.franceagrimer.fr/prix?POMME,11.13,3,litre,Portugal,Cat. II,Pomme,MIN de Marseille,11.13,1,2026,Hiver,Fruits,10-20€
Raisin,2026-01-22,MIN de Toulouse,Raisin Cat. I - Pays-Bas,https://rnm.franceagrimer.fr/prix?RAISIN,14.38,3,litre,Pays-Bas,Cat. I,Raisin,MIN de Toulouse,14.38,1,2026,Hiver,Fruits,10-20€
Canard,2026-01-25,MIN de Lille,Canard Cat. I - France,https://rnm.franceagrimer.fr/prix?CANARD,27.45,7,pièce,France,Cat. I,Canard,MIN de Lille,27.45,1,2026,Hiver,Viande,>20€
Pomme de terre,2025-12-12,MIN de Marseille,Pomme de terre Cat. I - France,https://rnm.franceagrimer.fr/prix?POMME-DE-TERRE,5.91,8,litre,France,Cat. I,Pomme De Terre,MIN de Marseille,5.91,12,2025,Hiver,Légumes,5-10€
Canard,2025-12-22,MIN de Strasbourg,Canard Cat. I - Pays-Bas,https://rnm.franceagrimer.fr/prix?CANARD,29.14,8,kg,Pays-Bas,Cat. I,Canard,MIN de Strasbourg,29.14,12,2025,Hiver,Viande,>20€
Oignon,2026-01-24,MIN d'Avignon,Oignon Cat. II - Italie,https://rnm.franceagrimer.fr/prix?OIGNON,3.17,8,litre,Italie,Cat. II,Oignon,MIN d'Avignon,3.17,1,2026,Hiver,Légumes,2-5€
Ail,2025-11-07,MIN d'Avignon,Ail Extra - Belgique,https://rnm.franceagrimer.fr/prix?AIL,6.03,2,pièce,Belgique,Extra,Ail,MIN d'Avignon,6.03,11,2025,Automne,Légumes,5-10€
Agneau,2026-01-04,MIN de Rungis,Agneau Cat. I - Espagne,https://rnm.franceagrimer.fr/prix?AGNEAU,32.23,10,litre,Espagne,Cat. I,Agneau,MIN de Rungis,32.23,1,2026,Hiver,Viande,>20€
Poireau,2025-11-19,MIN de Lille,Poireau Extra - Italie,https://rnm.franceagrimer.fr/prix?POIREAU,4.08,9,kg,Italie,Extra,Poireau,MIN de Lille,4.08,11,2025,Automne,Légumes,2-5€
Crème,2025-11-20,MIN de Nice,Crème Bio - Allemagne,https://rnm.franceagrimer.fr/prix?CRÈME,13.81,4,kg,Allemagne,Bio,Crème,MIN de Nice,13.81,11,2025,Automne,Produits laitiers,10-20€
Pomme,2026-01-22,MIN de Lille,Pomme Cat. II - Espagne,https://rnm.franceagrimer.fr/prix?POMME,13.87,8,kg,Espagne,Cat. II,Pomme,MIN de Lille,13.87,1,2026,Hiver,Fruits,10-20€
Bœuf,2025-12-12,MIN de Nice,Bœuf Extra - Espagne,https://rnm.franceagrimer.fr/prix?BŒUF,29.31,2,pièce,Espagne,Extra,Bœuf,MIN de Nice,29.31,12,2025,Hiver,Viande,>20€
Bœuf,2026-01-03,MIN de Nice,Bœuf Cat. II - Italie,https://rnm.franceagrimer.fr/prix?BŒUF,26.22,6,pièce,Italie,Cat. II,Bœuf,MIN de Nice,26.22,1,2026,Hiver,Viande,>20€
Carotte,2026-01-27,MIN de Toulouse,Carotte Cat. II - Maroc,https://rnm.franceagrimer.fr/prix?CAROTTE,3.94,3,litre,Maroc,Cat. II,Carotte,MIN de Toulouse,3.94,1,2026,Hiver,Légumes,2-5€
Ail,2026-01-25,MIN de Nice,Ail Cat. II - Belgique,https://rnm.franceagrimer.fr/prix?AIL,6.83,5,kg,Belgique,Cat. II,Ail,MIN de Nice,6.83,1,2026,Hiver,Légumes,5-10€
Oignon,2025-12-17,MIN d'Avignon,Oignon Bio - France,https://rnm.franceagrimer.fr/prix?OIGNON,3.71,6,litre,France,Bio,Oignon,MIN d'Avignon,3.71,12,2025,Hiver,Légumes,2-5€
Poivron,2026-01-04,MIN de Lille,Poivron Cat. II - Belgique,https://rnm.franceagrimer.fr/prix?POIVRON,2.57,10,kg,Belgique,Cat. II,Poivron,MIN de Lille,2.57,1,2026,Hiver,Légumes,2-5€
Citron,2026-01-17,MIN d'Avignon,Citron Extra - Espagne,https://rnm.franceagrimer.fr/prix?CITRON,9.88,7,kg,Espagne,Extra,Citron,MIN d'Avignon,9.88,1,2026,Hiver,Fruits,5-10€
Lapin,2026-01-15,MIN de Marseille,Lapin Cat. II - Italie,https://rnm.franceagrimer.fr/prix?LAPIN,23.61,3,litre,Italie,Cat. II,Lapin,MIN de Marseille,23.61,1,2026,Hiver,Viande,>20€
Dinde,2025-12-20,MIN d'Avignon,Dinde Cat. II - Espagne,https://rnm.franceagrimer.fr/prix?DINDE,28.56,6,pièce,Espagne,Cat. II,Dinde,MIN d'Avignon,28.56,12,2025,Hiver,Viande,>20€
Pêche,2026-01-10,MIN de Strasbourg,Pêche Cat. I - Portugal,https://rnm.franceagrimer.fr/prix?PÊCHE,13.12,10,pièce,Portugal,Cat. I,Pêche,MIN de Strasbourg,13.12,1,2026,Hiver,Fruits,10-20€
Carotte,2025-12-20,MIN de Lille,Carotte Cat. I - Belgique,https://rnm.franceagrimer.fr/prix?CAROTTE,3.45,5,litre,Belgique,Cat. I,Carotte,MIN de Lille,3.45,12,2025,Hiver,Légumes,2-5€
Agneau,2026-01-09,MIN de Bordeaux,Agneau Cat. I - Espagne,https://rnm.franceagrimer.fr/prix?AGNEAU,33.91,6,litre,Espagne,Cat. I,Agneau,MIN de Bordeaux,33.91,1,2026,Hiver,Viande,>20€
Courgette,2025-11-17,MIN de Paris,Courgette Extra - Espagne,https://rnm.franceagrimer.fr/prix?COURGETTE,3.84,8,kg,Espagne,Extra,Courgette,MIN de Paris,3.84,11,2025,Automne,Légumes,2-5€
Carotte,2025-12-12,MIN de Nice,Carotte Cat. I - Espagne,https://rnm.franceagrimer.fr/prix?CAROTTE,3.41,3,litre,Espagne,Cat. I,Carotte,MIN de Nice,3.41,12,2025,Hiver,Légumes,2-5€
Citron,2026-01-19,MIN de Lille,Citron Extra - Belgique,https://rnm.franceagrimer.fr/prix?CITRON,7.91,10,pièce,Belgique,Extra,Citron,MIN de Lille,7.91,1,2026,Hiver,Fruits,5-10€
Lait,2026-01-12,MIN de Strasbourg,Lait Extra - Pays-Bas,https://rnm.franceagrimer.fr/prix?LAIT,9.5,9,litre,Pays-Bas,Extra,Lait,MIN de Strasbourg,9.5,1,2026,Hiver,Produits laitiers,5-10€
Canard,2025-11-08,MIN de Perpignan,Canard Cat. II - Belgique,https://rnm.franceagrimer.fr/prix?CANARD,35.05,7,litre,Belgique,Cat. II,Canard,MIN de Perpignan,35.05,11,2025,Automne,Viande,>20€
Poire,2025-11-23,MIN de Marseille,Poire Cat. II - France,https://rnm.franceagrimer.fr/prix?POIRE,10.44,3,kg,France,Cat. II,Poire,MIN de Marseille,10.44,11,2025,Automne,Fruits,10-20€
Agneau,2025-12-10,MIN de Bordeaux,Agneau Bio - Belgique,https://rnm.franceagrimer.fr/prix?AGNEAU,26.51,8,pièce,Belgique,Bio,Agneau,MIN de Bordeaux,26.51,12,2025,Hiver,Viande,>20€
Agneau,2026-01-29,MIN de Strasbourg,Agneau Cat. I - Espagne,https://rnm.franceagrimer.fr/prix?AGNEAU,31.27,9,pièce,Espagne,Cat. I,Agneau,MIN de Strasbourg,31.27,1,2026,Hiver,Viande,>20€
Raisin,2025-11-10,MIN de Nantes,Raisin Bio - Maroc,https://rnm.franceagrimer.fr/prix?RAISIN,9.86,6,litre,Maroc,Bio,Raisin,MIN de Nantes,9.86,11,2025,Automne,Fruits,5-10€
Carotte,2025-12-06,MIN de Lyon,Carotte Cat. II - Belgique,https://rnm.franceagrimer.fr/prix?CAROTTE,3.06,6,kg,Belgique,Cat. II,Carotte,MIN de Lyon,3.06,12,2025,Hiver,Légumes,2-5€
Kiwi,2025-12-09,MIN de Lyon,Kiwi Bio - France,https://rnm.franceagrimer.fr/prix?KIWI,5.33,4,kg,France,Bio,Kiwi,MIN de Lyon,5.33,12,2025,Hiver,Fruits,5-10€
Poulet,2025-12-14,MIN de Toulouse,Poulet Bio - Allemagne,https://rnm.franceagrimer.fr/prix?POULET,14.77,1,pièce,Allemagne,Bio,Poulet,MIN de Toulouse,14.77,12,2025,Hiver,Viande,10-20€
Raisin,2025-11-05,MIN de Toulouse,Raisin Bio - Allemagne,https://rnm.franceagrimer.fr/prix?RAISIN,8.79,3,pièce,Allemagne,Bio,Raisin,MIN de Toulouse,8.79,11,2025,Automne,Fruits,5-10€
Bœuf,2025-11-28,MIN de Lyon,Bœuf Bio - Maroc,https://rnm.franceagrimer.fr/prix?BŒUF,28.41,7,kg,Maroc,Bio,Bœuf,MIN de Lyon,28.41,11,2025,Automne,Viande,>20€
Citron,2025-11-27,MIN de Rungis,Citron Bio - France,https://rnm.franceagrimer.fr/prix?CITRON,5.25,3,kg,France,Bio,Citron,MIN de Rungis,5.25,11,2025,Automne,Fruits,5-10€
Raisin,2026-01-08,MIN de Lille,Raisin Cat. II - Maroc,https://rnm.franceagrimer.fr/prix?RAISIN,12.75,10,kg,Maroc,Cat. II,Raisin,MIN de Lille,12.75,1,2026,Hiver,Fruits,10-20€
Lapin,2026-01-22,MIN de Paris,Lapin Cat. I - Belgique,https://rnm.franceagrimer.fr/prix?LAPIN,23.71,9,kg,Belgique,Cat. I,Lapin,MIN de Paris,23.71,1,2026,Hiver,Viande,>20€
Tomate,2025-12-11,MIN de Marseille,Tomate Bio - Portugal,https://rnm.franceagrimer.fr/prix?TOMATE,3.34,8,kg,Portugal,Bio,Tomate,MIN de Marseille,3.34,12,2025,Hiver,Légumes,2-5€
Aubergine,2026-01-18,MIN de Perpignan,Aubergine Bio - Pays-Bas,https://rnm.franceagrimer.fr/prix?AUBERGINE,2.71,1,kg,Pays-Bas,Bio,Aubergine,MIN de Perpignan,2.71,1,2026,Hiver,Légumes,2-5€
Veau,2025-12-26,MIN de Lille,Veau Cat. I - Italie,https://rnm.franceagrimer.fr/prix?VEAU,21.88,8,kg,Italie,Cat. I,Veau,MIN de Lille,21.88,12,2025,Hiver,Viande,>20€
Pastèque,2026-01-19,MIN de Paris,Pastèque Bio - Maroc,https://rnm.franceagrimer.fr/prix?PASTÈQUE,4.36,4,litre,Maroc,Bio,Pastèque,MIN de Paris,4.36,1,2026,Hiver,Fruits,2-5€
Fromage de chèvre,2026-01-23,MIN de Bordeaux,Fromage de chèvre Bio - Espagne,https://rnm.franceagrimer.fr/prix?FROMAGE-DE-CHÈVRE,15.25,1,kg,Espagne,Bio,Fromage De Chèvre,MIN de Bordeaux,15.25,1,2026,Hiver,Produits laitiers,10-20€
Yaourt,2025-12-12,MIN de Marseille,Yaourt Bio - Italie,https://rnm.franceagrimer.fr/prix?YAOURT,6.0,10,kg,Italie,Bio,Yaourt,MIN de Marseille,6.0,12,2025,Hiver,Produits laitiers,5-10€
Pomme de terre,2026-01-27,MIN de Marseille,Pomme de terre Cat. I - Portugal,https://rnm.franceagrimer.fr/prix?POMME-DE-TERRE,7.31,2,litre,Portugal,Cat. I,Pomme De Terre,MIN de Marseille,7.31,1,2026,Hiver,Légumes,5-10€
Dinde,2025-11-13,MIN de Paris,Dinde Cat. I - Italie,https://rnm.franceagrimer.fr/prix?DINDE,30.82,6,litre,Italie,Cat. I,Dinde,MIN de Paris,30.82,11,2025,Automne,Viande,>20€
Canard,2026-01-28,MIN de Bordeaux,Canard Bio - Maroc,https://rnm.franceagrimer.fr/prix?CANARD,35.98,7,kg,Maroc,Bio,Canard,MIN de Bordeaux,35.98,1,2026,Hiver,Viande,>20€
Lait,2025-12-31,MIN de Rungis,Lait Cat. II - Espagne,https://rnm.franceagrimer.fr/prix?LAIT,9.42,6,litre,Espagne,Cat. II,Lait,MIN de Rungis,9.42,12,2025,Hiver,Produits laitiers,5-10€
Agneau,2026-01-04,MIN de Nantes,Agneau Cat. II - France,https://rnm.franceagrimer.fr/prix?AGNEAU,30.45,8,pièce,France,Cat. II,Agneau,MIN de Nantes,30.45,1,2026,Hiver,Viande,>20€
Veau,2025-12-16,MIN d'Avignon,Veau Extra - Espagne,https://rnm.franceagrimer.fr/prix?VEAU,33.16,7,kg,Espagne,Extra,Veau,MIN d'Avignon,33.16,12,2025,Hiver,Viande,>20€
Tomate,2025-12-01,MIN de Bordeaux,Tomate Cat. II - Espagne,https://rnm.franceagrimer.fr/prix?TOMATE,3.61,4,litre,Espagne,Cat. II,Tomate,MIN de Bordeaux,3.61,12,2025,Hiver,Légumes,2-5€
Kiwi,2026-01-05,MIN de Perpignan,Kiwi Bio - Portugal,https://rnm.franceagrimer.fr/prix?KIWI,5.94,6,litre,Portugal,Bio,Kiwi,MIN de Perpignan,5.94,1,2026,Hiver,Fruits,5-10€
Poulet,2026-01-01,MIN de Nantes,Poulet Cat. I - Pays-Bas,https://rnm.franceagrimer.fr/prix?POULET,15.47,4,pièce,Pays-Bas,Cat. I,Poulet,MIN de Nantes,15.47,1,2026,Hiver,Viande,10-20€
Lapin,2026-01-29,MIN de Nantes,Lapin Bio - France,https://rnm.franceagrimer.fr/prix?LAPIN,21.99,1,kg,France,Bio,Lapin,MIN de Nantes,21.99,1,2026,Hiver,Viande,>20€
Aubergine,2026-01-20,MIN de Paris,Aubergine Cat. I - Italie,https://rnm.franceagrimer.fr/prix?AUBERGINE,2.4,8,kg,Italie,Cat. I,Aubergine,MIN de Paris,2.4,1,2026,Hiver,Légumes,2-5€
Fraise,2026-01-26,MIN de Toulouse,Fraise Cat. II - Belgique,https://rnm.franceagrimer.fr/prix?FRAISE,4.98,4,pièce,Belgique,Cat. II,Fraise,MIN de Toulouse,4.98,1,2026,Hiver,Fruits,2-5€
Haricot vert,2026-01-22,MIN de Lille,Haricot vert Bio - Allemagne,https://rnm.franceagrimer.fr/prix?HARICOT-VERT,7.89,1,kg,Allemagne,Bio,Haricot Vert,MIN de Lille,7.89,1,2026,Hiver,Légumes,5-10€
Porc,2025-12-25,MIN de Strasbourg,Porc Cat. II - Allemagne,https://rnm.franceagrimer.fr/prix?PORC,34.65,10,pièce,Allemagne,Cat. II,Porc,MIN de Strasbourg,34.65,12,2025,Hiver,Viande,>20€
Oignon,2026-01-15,MIN de Paris,Oignon Extra - Pays-Bas,https://rnm.franceagrimer.fr/prix?OIGNON,3.59,5,litre,Pays-Bas,Extra,Oignon,MIN de Paris,3.59,1,2026,Hiver,Légumes,2-5€
Porc,2026-01-13,MIN de Nice,Porc Extra - Belgique,https://rnm.franceagrimer.fr/prix?PORC,29.6,3,kg,Belgique,Extra,Porc,MIN de Nice,29.6,1,2026,Hiver,Viande,>20€
Veau,2025-12-02,MIN de Nice,Veau Extra - Belgique,https://rnm.franceagrimer.fr/prix?VEAU,32.35,7,pièce,Belgique,Extra,Veau,MIN de Nice,32.35,12,2025,Hiver,Viande,>20€
